Site,Latitude,Longitude,Temperature,Pressure,CO2 flux [ppm],Soil Temperature [°],Comment,Instrument,Date,flux[g/m2/d],data quality
test1,50.25467,12.42061,28.6,952.3,1.180,none,none,WS082,15-04-2024 16:58:5,14.95,true value
Test1204,50.25469,12.42060,n.a.,51.0,1.350,none,none,WS120,15-04-2024 17:03:0,0.93,copied from value
Test1204b,50.25466,12.42063,n.a.,51.0,1.590,none,none,WS120,15-04-2024 17:08:5,1.16,copied from value
Test1204ignore,50.25466,12.42063,n.a.,51.0,1.820,none,none,WS120,15-04-2024 17:15:3,1.33,copied from value
test1ws2202,50.25467,12.42065,20.76,934.44,0.503,none,none,WS220,15-04-2024 17:19:5,6.42,true value
test2ws2202,50.23441,12.42937,22.56,945.31,0.831,none,none,WS220,15-04-2024 18:14:5,10.66,true value
test2WS0823,50.23438,12.42936,30.6,51.2,1.430,none,none,WS082,15-04-2024 18:21:5,0.97,true value
test2WS1204,50.23439,12.42939,n.a.,51.0,1.110,none,none,WS120,15-04-2024 18:32:2,0.81,copied from value
Fg1,50.23417,12.42931,18.02,944.91,1.230,none,none,WS220,15-04-2024 18:52:3,16.02,true value
WS1204FG1,50.23396,12.42927,n.a.,51.0,0.706,none,Profile Facettengruen,WS120,15-04-2024 18:56:3,0.51,copied from value
Fg2,50.23364,12.42919,19.24,945.10,0.482,none,none,WS220,15-04-2024 18:56:3,6.25,true value
Fg3,50.23332,12.42895,19.59,945.43,0.532,none,none,WS220,15-04-2024 18:59:0,6.90,true value
WS1204FG2,50.23347,12.42920,n.a.,51.0,0.623,none,gruene wiese,WS120,15-04-2024 18:59:5,0.44,copied from value
Fg4,50.23294,12.42875,19.97,945.83,1.820,none,none,WS220,15-04-2024 19:02:5,23.57,true value
WS1204FG3,50.23316,12.42883,n.a.,51.0,1.210,none,none,WS120,15-04-2024 19:03:1,0.87,copied from value
WS1204FG4,50.23272,12.42861,12,51.0,1.790,none,none,WS120,15-04-2024 19:06:2,1.29,true value
Fg5,50.23251,12.42849,19.91,946.08,0.636,none,none,WS220,15-04-2024 19:06:4,8.24,true value
Fg6,50.23207,12.42829,20.04,946.17,1.190,none,none,WS220,15-04-2024 19:09:5,15.41,true value
WS1204FG5,50.23240,12.42841,n.a.,51.0,1.580,none,windy,WS120,15-04-2024 19:10:1,1.13,copied from value
Fg7,50.23186,12.42819,20.29,946.03,1.000,none,none,WS220,15-04-2024 19:12:3,12.94,true value
WS1204FG6,50.23209,12.42820,n.a.,51.0,2.110,none,little gras,WS120,15-04-2024 19:13:1,1.54,copied from value
Fg8,50.23140,12.42817,20.49,946.05,1.390,none,none,WS220,15-04-2024 19:15:1,17.98,true value
WS1204FG7,50.23164,12.42809,n.a.,51.0,1.480,none,none,WS120,15-04-2024 19:16:0,1.00,copied from value
WS1204FG8,50.23120,12.42805,n.a.,51.0,2.040,none,none,WS120,15-04-2024 19:18:3,1.42,copied from value
Fg9,50.23088,12.42793,20.43,946.17,0.917,none,none,WS220,15-04-2024 19:19:4,11.86,true value
Fg10,50.23046,12.42784,20.35,945.91,0.112,none,none,WS220,15-04-2024 19:22:5,1.45,true value
WS1204FG9,50.23073,12.42791,n.a.,51.0,0.382,none,acker ohne bewuchs,WS120,15-04-2024 19:23:1,0.27,copied from value
Fg11,50.23009,12.42760,20.52,945.69,0.407,none,Acker sparse veg,WS220,15-04-2024 19:26:0,5.26,true value
WS1204FG10,50.23031,12.42766,n.a.,51.0,0.320,none,"windy, bare ground",WS120,15-04-2024 19:27:1,0.22,copied from value
Fg12,50.22971,12.42709,19.56,945.43,0.072,none,none,WS220,15-04-2024 19:32:5,0.93,true value
WS1204FG11,50.22992,12.42730,n.a.,51.0,0.409,none,cracks in n soil,WS120,15-04-2024 19:34:1,0.28,copied from value
Test2TagWS1204,50.21651,12.42562,5,51.0,0.541,none,"wiese,feucht",WS120,16-04-2024 09:47:4,0.40,true value
testzweitertagws2209,50.21651,12.42560,13.58,948.28,1.100,none,5c,WS220,16-04-2024 09:54:1,14.60,true value
NKW1,50.21648,12.42593,13.25,948.19,1.180,none,none,WS220,16-04-2024 10:00:4,15.68,true value
NKW2,50.21646,12.42660,13.26,948.11,0.856,none,feuchtes Gras,WS220,16-04-2024 10:03:4,11.37,true value
WS1204NK1,50.21647,12.42633,5,51.0,1.530,none,"cold,windy,wiese",WS120,16-04-2024 10:04:4,1.13,true value
WS1204NK2,50.21644,12.42693,n.a.,51.0,0.562,none,none,WS120,16-04-2024 10:07:2,0.41,copied from value
NKW3,50.21640,12.42725,14.08,948.24,0.611,none,fw,WS220,16-04-2024 10:09:4,8.10,true value
WS1204NK3,50.21637,12.42757,n.a.,51.0,0.813,none,none,WS120,16-04-2024 10:11:3,0.57,copied from value
NKW4,50.21634,12.42818,14.16,948.06,1.340,none,fw,WS220,16-04-2024 10:15:5,17.75,true value
WS1204NK4,50.21638,12.42791,n.a.,51.0,0.213,none,very noisy,WS120,16-04-2024 10:16:1,0.16,copied from value
WS1204NK5,50.21630,12.42852,n.a.,51.0,1.290,none,none,WS120,16-04-2024 10:20:1,0.90,copied from value
WS1204NK6,50.21632,12.42919,n.a.,51.0,1.520,none,none,WS120,16-04-2024 10:26:5,1.06,copied from value
WS1204NK7,50.21623,12.42948,n.a.,51.0,0.574,none,none,WS120,16-04-2024 10:29:2,0.41,copied from value
